,text,label
38,"Today I reached 1000 subscribers on YT!! #happy, #goodday, #thankful",joy
39,Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! #hilarious,joy
40,@palmtreesarah @WorthingTheatre had more fun than the funniest person in funsville..... Much hilarity as usual.... Thank you ❤️,joy
41,@shwood @mpforstein OMD you 2 are cracking me up! Thanks for the follow Brian. I need some levity to balance the cynicism I share w/Michael😀,joy
42,"@DorH84607784 Oh FANTASTIC, I bet it was super exhilarating  🤗😍",joy
43,@ContourCosmetic well done ladies! A great award for an amazing team. A delight to present the award to you.,joy
44,Vals always smiling I love it #gbbo,joy
45,Had a great time at Skywalkers open gym tonight! Come our every Wednesday from 7-8 in Hillsboro and train with us! #opengym #cheer #tumbling,joy
46,I love how cheery and adoring @JackHoward gets every time he produces new content.,joy
47,Good morning joyful people. Choose happiness to have a great day today #morning #joyful #happiness #grandmercurejktkemayoran,joy
48,Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed ,joy
49,"Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday  #eatcake",joy
50,Thank you @twitter for the balloons today. #smile #goodday #48,joy
51,Omg. You've got to watch the new series 'This is Us'.....wow. Best tv show I've seen in a long time.\n#tears #laughter #moretears,joy
52,Today is the first time any math professor let us live early before the class time !!! #15 min #feelsgood #happy #wednesday #,joy
53,Food that gets delivered 😍🙌🏻 #cheering #happy,joy
54,You know you're in love when all you can do is smile whenever you talk about how he is to someone.,joy
55,What a #lively #lovely #shower 😇 ..,joy
56,"What a great training course, lots of photos, fun and laughter. Photo's will be up soon #Boostercourse #fun #laughter",joy
57,@EmmyMitchell_  hahahaha you're ridiculous!!! But thank you a joyous evening xx,joy
58,I am so happy I have come across @HilltopBindery notebooks! #handmade would love to talk to you! #musthave #want #need #happy #amazing 📖🖋,joy
59,second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL ,joy
60,Made my night that @GordonReid91 Reid was included in tonight's hilarity. Some of those points were brilliant. Thanks @andy_murray,joy
61,"By the way, I'm wearing the smile you gave me today. \n #you #me ",joy
62,@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness #delight #happyme,joy
63,"@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now.",joy
64,Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! ,joy
65,"@MrHenvin Thank you, happy birthday to you as well!",joy
66,"I really love the customer service @LifeProof they're always so nice, helpful and cheerful !",joy
67,"@ChrisBooker @ThePerezHilton On PHP54  and though the Kardashian stuff goes over my head, you're both hilarious, like gleeful little boys 😂😂",joy
68,"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty",joy
69,"May your day be filled with #peace#love n #laughter .Have a very nice day full of #Success #Jummah Mubarak😇 , good morning☕ @WaseemBadami",joy
70,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! ,joy
71,It's funny that everyone came in my life as they like how far I'm cheerful and self confident could make me 3abla kaml fg2a kda 😂😂😂,joy
72,Happy Birthday @Brooke56_56  #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,joy
73,TheNiceBot: melbjs ;) Here is a smile and a wink from across the web. #TheNiceBot,joy
74,"A #smile brightens your day and the day of everyone around you, so remember to #smile, it's #free. :-)",joy
75,I'm watching joyful noise for 100000000 time cuz I love this movie and @KekePalmer,joy
76,"Indian time it's already ur birthday @akshaymarwah22. Have a stupendous birthday. Wish you more success, laughter and lots of love. Hugs. x",joy
77,"now that I have my future planned out, I feel so much happier #goals #life  #igotthis #yay",joy
78,"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love #hilarious #TeamMark",joy
79,Had a great time at Skywalkers open gym tonight! Come our every Wednesday from 7-8 in Hillsboro and train with us! #opengym  #tumbling,joy
80,@jadelalaa_ hahaha and u da best bro ever luv u hearty hearts,joy
81,@morgannbroom yes ❤️❤️ &amp; cheering homecoming game!,joy
82,I would like to congratulate the people of Saudi Arabia a happy and a joyous national day. May you all have a great time! #اليوم_الوطني,joy
83,@JackAndJack I'm so lively for listen💗😀,joy
84,@Nick_Offerman I'll be there!! Can't wait for all the !,joy
85,@TheMandyMoore You are beyond wonderful.  Your singing prowess is phenomenal but damn... I'm just elated to watch you act again. #ThisIsUs 🤗,joy
86,@ahtareen1 @ReginalAleman @krelifa @zamansj64 @AwiexaB Very pleasing ty!,joy
87,@Zerfash — can't wait.' She said cheerfully and grinned.,joy
88,@madisenrb she's so sweet &amp; playful 😍,joy
89,"Good morning, Trondheim! #optimism #productivity ⛅️❤️🇳🇴🏢💻🖥🏋🏻💪🏼📺🍿",joy
90,Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious,joy
91,having a pet store worker ask 'do you want to play with them?' is the most exhilarating feeling,joy
92,@yoshi_lucky Good morning.Let's start with a smile!\nLet's enjoy life in a cheerful way!\nDon't worry be happy!,joy
93,Currently listening to @ScottFoxonair &amp; @KatCallaghan @Z1035Toronto podcasts!! Can you guys please move to #yvr ? #hilarious #missyou,joy
94,@Jen_Lee @mostlymartha @edotwoods we just found thin mints in a freezer clean. i couldn't be more elated.,joy
95,@Myahrissavietta I'm cheery now 😘😉,joy
96,Probably the best OT period I've ever seen. Absolutely exhilarating. #WCH2016 #TeamNA,joy
97,Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo,joy
98,@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness  #happyme,joy
99,"@followAdamA looking back on recent tweets seen, this one right here is great #perfect #hilarious #Speechless #deal",joy
100,I found #marmite in Australia. `:) #happy,joy
101,@D_McMenemy It'll be easy to spot the parade of tiny weans in expensive jammies. Really is hilarious!,joy
102,"Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday #happy #eatcake",joy
103,"I love seeing happy women, that glow is something real.",joy
104,Aw there's a young fox outside on the grass just jumping around all playful and having a little stretch 🙈 soo cute 🐺,joy
105,"North America vs Sweden is the most exhilarating hockey I've ever watched 😅 wow , mackinonns mitts are silky #TeamNA #WCH2016",joy
106,Just had #efficient #great #smiling service @AppleBelgique store. Impressive team of geniuses ready to redefine what customer service is!,joy
107,"By the way, I'm wearing the smile you gave me today. \n#you #me #smile",joy
108,Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife  #love #hardworkpaysoff #fun,joy
109,You're so cute @katienolan #truelove #hilarious @GarbageTime #beautiful &amp; #graceful never heard explicits spoken with such elegance. #Mingo,joy
110,"Always be #cheerful, #smile often make others happy, care for others, help who feel helpless and #vulnerable. Life feels good #leadership",joy
111,"What a great training course, lots of photos, fun and laughter. Photo's will be up soon #Boostercourse #fun ",joy
112,LOVE LOVE LOVE #smile #fun #relaxationiskey,joy
113,@Matalan when the lady in Xmas dept answers your call as 'hello mrs Xmas' yep true story #winning #Xmas #cheer #goodcustomerservice ❤ 📞👍😊,joy
114,Happy birthday @iRidhiDogra keep smiling always.Wishing you a wonderful year ahead mam,joy
115,"Good night, Twitter world! Wish you all good sleep / productive jovial days! :)",joy
116,@RobRiggle @joelmchale @NFLonFOX I still can't get jimmy garoppolo out of my head and it's been almost 3 weeks. Thanks a lot! #hilarious,joy
117,My friend just messaged me 'ugh I'm so hungry I can't wait for breakfast' #socialmedia #WineWednesday #hilarious #funny #laughing #happy,joy
118,Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! ,joy
119,@stackee Charlie attempted to suffocate me with a cushion for cheering so much at the great news 😂😂,joy
120,@clonmacart I'm beaming with glee.,joy
121,Smile at people and see what happens.  I think you'll be surprised #smile more #surprisepeople #influenceinternational,joy
122,"Something about these cool, breezy fall days.. 😍🍂🌾🍁",joy
123,Food that gets delivered 😍🙌🏻  ,joy
124,@ArtyBagger With or without cake seeing your wee cheery face is always a joy xx,joy
125,"I am a simple human being who just really loves @aliciakeys like truly, madly, deeply rejoicing in her existence, class and queendom",joy
126,"I just really enjoy bright colors, like the colors you would see downtown Miami",joy
127,"Thanks for making our Mass with Fr. Vallely respectful, meaningful, and joyful @ACSSCrusader @AssumptionHCDSB ! #SeeWithEyesOfMercy",joy
128,Good morning joyful people. Choose happiness to have a great day today #morning  #happiness #grandmercurejktkemayoran,joy
129,@LiamJamesVernon love the optimism!! BLUE MOON!,joy
130,#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy #delight,joy
131,@RealestCastiel just sitting close to him for an extended period of time was exhilarating because he's so beautiful and lively lol,joy
132,TheNiceBot: WSJNordics You make the world a more joyful place. #TheNiceBot #الخفجي,joy
133,@PriiiincesssE thanks for distracting me from my paper to watch this hilarious video 😂,joy
134,@grahnort wonderful experience watching you yesterday at. @BBCLetItShine thankyou for the ,joy
135,@LindseySanford @simplymeasured this makes me giggle with glee!,joy
136,Live simply. Dream big. Be grateful. Give love. Laugh lots. - Unknown #quote #inspiration #happy,joy
137,Be #happy. Be #bright. Be YOU :) #identity #TimelessTips #friendship #family #forest #water #family #TrueLove #God #RoadSoFar #you #LifeTrip,joy
138,"When you wake up from a dream laughing at something stupid, and that makes you laugh more ",joy
139,@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol ,joy
140,Zephaniah 3:17 He surely is rejoicing over us with singing...such romance and so needed today!!,joy
141,@imDevinLopez happy bday bro! 👌🏻,joy
142,@itsyourgirl_Z happy birthday :) have a blessed day love from Toronto :) #bday #smile,joy
143,"Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing",joy
144,Riggs dumb ass hell lolol #hilarious #LethalWeapon,joy
145,"“Be #positive, #cheerful, #grateful and expectant.” @NightingaleEarl  #Success #Leadership",joy
146,"We are elated to have @lisavol, Sid Espinosa and @dyuliharris, ready to inspire innovative students!!  @knightfdn @MicrosoftSV @JessicaWeare",joy
147,@Norn_IronMaiden @forest_fr1ends It's hilarious,joy
148,"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #punny #lol ",joy
149,#ukedchat A4 Just go outside (or to the gym hall) and play! \n #education  #learning,joy
150,"And by the way, Takeru's eyes sparkling while eating was like the cutest thing ever.",joy
151,#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy ,joy
152,@JamieNicks_ it makes complete sense and i'm elated to hear this :],joy
153,@liamch88 yeah! :) playing well ,joy
154,@Olajide_Shutti lmaoo. It will be a joyful day.,joy
155,Thank you @RachelPlatten for teaching me how to live again. It's been so long since &amp; this ride is about to be exhilarating. I just know it,joy
156,Day 3 of #harvest16 - listening to the sound of the chopper working it's way closer to home at @mountaindairy makes me #happy. #farm365,joy
157,@dressenn @amerson6562 @RosaTrunk @iam_spl_ @michaelk487 @Silau25 \nGA🙋 Have a joyful day,joy
158,Yo this 3 v 3 overtime in hockey got me sweaty damn this ish exhilarating,joy
159,What an exhilarating last minute of overtime #WCH2016,joy
160,Day 9 and I am elated because I'm taking PTO tomorrow so I'm doneeeee. But:,joy
161,"Ooh #hygge, candles, jasmine tea &amp; #GBBO ",joy
162,.@Travelanswerman: When U ride on a pile of salt life is extra sweet! Always salty always savory! #surfing #aloha #smiling …,joy
163,It's a beautiful day today. Cloudy but sunny and breezy.,joy
164,@jimadair3 Guitar shop owners everywhere rejoice,joy
165,A joyous first webiversary/web mitzvah to Smithsonian's @WeiPoints!! @brianwolly @jackie_mansky @bethpylieberman @bilbo @mazeltov,joy
166,@lennyabrahamson May I send you a copy of #HeroTheGreyhound? Either e-book or real paper one! A boy and a greyhound #smiles #tears #laughter,joy
167,Look forward to the detours because they bring delightful surprises. #lifequote ,joy
168,"@followAdamA looking back on recent tweets seen, this one right here is great #perfect  #Speechless #deal",joy
169,Getting cable hooked up in new place just in time for @NBCChicagoPD and @NBCChicagoMed premiers is like God smiling down on me. #OneChicago,joy
170,"@mediacrooks @thenewshour @LodhiMaleeha @ndtv @IndiaToday This is hilarious ! Not a Freudian slip, eh !",joy
171,Watch this amazing live.ly broadcast by @izzybuzy365  #musically,joy
172,My siblings look all gangster &amp; I look all cheery 😅😂,joy
173,@sidviyer uff!! Look at your Arsenal fans cheering for every goal against United. haha,joy
174,"@HytheHighborne -Sylvia was elated to receive kisses from the little prince, her bright smile clear as she glanced to Garrett and Elyse- --",joy
175,There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done #smiling,joy
176,"If you have the ability to make someone happy or to make someone #smile, do it! The world needs more of that right about now. #CreateLove ☺️",joy
177,"@BlueJayHunter I'm fine on the near future, I just want to go to bed super elated and put together audio compilations of great moments.",joy
178,Time to go hit up the library - I have a lovely PILE of book reservations to collect this morning... #glee #books #reading,joy
179,"if you ain't watching Sugarboy on Hulu, then you ain't shit. #hilarious hahaha",joy
180,@TampaBayRay I cried with laughter.,joy
181,"I'm due for a big change! I've prayed on it, I think I deserve it #positivity #optimism",joy
182,@R1Breakfast Totes had to re-listen to the endless hilarity that was Tom Odell's 'raaar' this morning 😂😂😂 @grimmers @fionaradio @TinaDaheley,joy
183,"It's finally raining in Ashland, Oregon. We've been parched all summer &amp; fall. The plants &amp; people are rejoicing!",joy
184,tfw you're en-route to your future :) !! @HUCJIR i'm coming for ya! #openhouse #futurecantor #exhilarating #NYCletsgo,joy
185,@reinervshunter you got this #staystrong #smile #yourebeautiful,joy
186,It's Thursday which means it's Grey's day #TGIT ,joy
187,Watch this amazing live.ly broadcast by @brooke_bridges  #musically,joy
188,The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,joy
189,I am always ready to #smile.,joy
190,"Riding at night has got to be one of the most exhilarating, refreshing things I have ever done.",joy
191,"Lmboo , using my nephew for meme #hilarious",joy
192,@sszmata @PKessel81 Blew up the Internet with his chirp. Lol. Love it.,joy
193,Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up. #laughter #comedy #maybeoneday #hopefullyfunny #LOL,joy
194,"I like talking to someone who makes me laugh, laughter is the best medicine",joy
195,"Lmboo , using my nephew for meme ",joy
196,"Loved @Bethenny independence msg on @WendyWilliams, be happy &amp; fulfilled within yourself &amp; positivity will flock to you #happy #independent",joy
197,Watch this amazing live.ly broadcast by @katyy.mae #lively #musically,joy
198,"#personaldevelopment\n\nToday is a gift, that's why it's called the present... #happiness #optimism #entrepreneur #personaldevelopment …",joy
199,Bunk ur class📚 at least once in your life time cuz later when u look back good marks will not make u happy but memories😊 will'    -APJ,joy
200,"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. #hilarious",joy
201,Am I watching #BacheloretteAU or Zoolander ? #hilarious #samvrhys,joy
202,@scdesc Yup. And Val basically ignoring the recipe. I'm just done. I keep bursting into laughter x,joy
203,"Be happy not because everything is good, but because you can see the good side of everything  #optimism",joy
204,the fact everyone is selling their kanye tickets or are buying them for less than $50 is unbelievably hilarious to me,joy
205,@bradshawjp Sweet! ,joy
206,"He showed us a really lively performance, with a lot of different emotions, not just sticking to one. And that's freaking awesome.",joy
207,@Nick_Offerman I'll be there!! Can't wait for all the #mirth!,joy
208,Icon is pochama.\nHe is very cute and easily elated.,joy
209,@crimpoop my adorable and cheerful daughter\nAlways pouring positivity green goo on me\ndare hurt her and you'll see hell //growls\n\n#PandaBot,joy
210,Remember: The life you have is a blessing for #God. Make it a joyful experience regardless of the odds. GBY,joy
211,@chrisrock brings back great memories of hilarity on #SATURDAYNIGHTLIVE,joy
212,The neighbor dancing in the Clayton Homes commercial is me. #hilarious,joy
213,All in all a pleasing night down The Lane .  .  .  On to the next round &amp; bring on Liverpool at Anfield! #COYS,joy
214,@AlbertBreer @jetswhispers Be sure and switch it over to cable news - cheery,joy
215,"If you simply act out of kindness, strength, and optimism, today will be the best day ever! @Tarleton_KINE @DrKaylaPeak @jssimpson9",joy
216,@beingbrilliant @johnmurrays you're welcome. It's genuinely made me give my head a wobble and realise what's important in life.  #smiling,joy
217,@liamch88 yeah! :) playing well #optimism,joy
218,Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK,joy
219,@RealKyper @NHL watching the jubilant scrum at the end of the day and remembering they're all still kids! #priceless,joy
220,chirp chirp! what a beautiful white and red bird! 🐦,joy
221,15 minutes of yoga to your breakfast routine will change your day #preparation #sunriseyoga #bodyawareness #health #yoga #smile #stretch,joy
222,@sydneyswans #cheer #cheer the #red and #white we are now off to #grand final to #win the #fight. Thanks @JetstarAirways,joy
223,"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #lol  #punny",joy
224,Watch this amazing live.ly broadcast by @iamjustinburke #lively #musically,joy
225,"@deadlyjokester *she let out a playful gasp and slowly wrapped her arms around his neck, kissing him back*",joy
226,"The T.I / Shawty Lo beef is one of the more underrated ones in hip-hop history. Chock-full of wit, bravado and hilarity.",joy
227,"Just popped a half bottle of 2014 @Bellawines #sparkling #gamaynoir from Westbank. Evenin', folks! \n#bcwinechat",joy
228,Omg I'm outside making beats with garageband and some little birds  decided to chirp along （≧∇≦）,joy
229,Go follow me on Musically @budderlordk1ng I am making a lively. Come and join BFFing and Following ;) See you there!,joy
230,@adamrodricks I like your optimism!,joy
231,Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love,joy
232,"God just replaced my sadness with laughter, can't go the whole day sad ...",joy
233,A hearty welcome to those who followed me.,joy
234,In ever use to like smiling until I realized how good my teeth look ... Witout the braces,joy
235,@saraandgreg @Airbnb Another happy customer.  #secreteyes,joy
236,I just heard the most incredibly transcendent song ever &amp; now I feel high &amp; fucked up yet joyful &amp; I will never be the same,joy
237,"Elinor,' she laughed so little known, all over every body at the brilliant cheerfulness of sweetmeats and a fashion.",joy
238,Only Geo is capable of cheering me up❤️❤️❤️,joy
239,@MericanMainer AWW. I had a Maine Coon when I was little named Ted Eddy the Wonder Cat. They're such good cats! Very playful and sweet,joy
240,Make someone happy ^_^,joy
241,What if.... the Metro LRT went over the Walterdale?!?! 😂 #yeg ,joy
242,Go follow #beautiful #Snowgang ♥@Amynicolehill12 ♥ #Princess #fitness #bodyposi #haircut #smile #Whitegirlwednesday,joy
243,felt a bit shit getting a very high blood sugar then i remembered it's my first one above 15 this week which is incredible for me! #happy,joy
244,@TheeCurrentYear @Sargon_of_Akkad this is too much hilarity for one day,joy
245,"Being a veteran just totally got me out of a ticket. I'm elated right now, close call.",joy
246,*violently screams at the four winds* WE AINT EVER GETTING OLDER *cute jovial rhythm starts* *moves hips along and waves arms in the air*,joy
247,"It's not that the man did not know how to juggle, he just didn't have the balls to do it. \n #funny #pun #punny #lol ",joy
248,There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done ,joy
249,Rojo is so bad it's hilarious.,joy
250,"I'm due for a big change! I've prayed on it, I think I deserve it #positivity ",joy
251,Watch this amazing live.ly broadcast by @kaylaaa_sartorious #lively #musically,joy
252,".@Harry_Styles I hope you never go a day without something to make you smile. You deserve all good things. Please follow me?\n❤️💛💚💙💜\n311,553",joy
253,@_stfukohle it's ok champ you'll make it I'm cheering you on from a far,joy
254,Rojo is hilarious,joy
255,I'm so playful. lol I need somebody that'll joke with me all day long cause ill never get tired of it.,joy
256,@LFScott57 Miss Cookie sends her thanks! She's not as spry as she used to be - like me! She doesn't have the adventures the young pups do!,joy
257,It's better to be wetter than it is dry' - @RLevin91 certainly found that hilarious #GBBO,joy
258,"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #punny  #lol",joy
259,"Ooh #hygge, candles, jasmine tea &amp; #GBBO #happy",joy
260,"@my2k aaa Cam animated that, so proud of our boy",joy
261,@safaridjh but it's so aesthetically pleasing omg,joy
262,"#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. ",joy
263,Peter is aesthetically pleasing to look at,joy
264,"Loved @Bethenny independence msg on @WendyWilliams, be happy &amp; fulfilled within yourself &amp; positivity will flock to you  #independent",joy
265,I thought I got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious,joy
266,@KWAYNTjoia it's exhilarating,joy
267,So happy my next class is canceled bc..im od tired 😭,joy
268,Optimism leads to success. - Bill Kerr @Coach__Kerr #success  #goals,joy
269,It's meant to be!!  ,joy
270,#smile is the #respect we give everyone.,joy
271,Not untill today has anyone ever said to me they remember what I had on over 7 years ago when they met me n liked me since #cutealert #happy,joy
272,The object of literature is to make man a wiser and happier being. The poet makes us happy because he tells us how we may become so.,joy
273,Watching Avatar and wondering why I took so long to watch this *collapses in a joyous heap*,joy
274,@DuncM1981 @pmallon72 At the risk of being blocked I thought that video from the wake was hilarious.,joy
275,I want the smoky clouds of laughter to swim about you forever more..,joy
276,I'm a cheery ghost.,joy
277,Watch this amazing live.ly broadcast by @elise_awsome_11 #lively #musically,joy
278,Watch this amazing live.ly broadcast by @footballrocks123456 #lively #musically,joy
279,Watch this amazing live.ly broadcast by @maisiev  #musically,joy
280,"@AJStylesOrg I know they have you a scripted ego maniac but, I was so elated to hear that you are a devout Christian like myself. Phenomanal",joy
281,"@alyankovic I really wish I could attend the show at RCMH. I'm there in spirit, cheering you and the dudes on! :)",joy
282,@Dubai92 try asking for a cheeseburger with only onion &amp; mustard at any #McDonalds #hilarious,joy
283,Accept the challenges so that you can feel the exhilaration of victory. #FocusX10 #motivation #motivationalquotes #quoteoftheday,joy
284,Watch this amazing live.ly broadcast by @flydudern  #musically,joy
285,"You know what's great about #GBBO ? Contestants helping each other, cheering each other on. So important.",joy
286,Accept the challenges so that you can feel the exhilaration of victory.,joy
287,@kymwhitley hello Miss Lady I'm sure today brings you happiness and laughter use your voice also to make us laugh  god knows we need it,joy
288,Thank you @twitter for the balloons today.  #goodday #48,joy
289,"@LoisJoanneLane Wagging his tail at the praise, he paused, tilting his head as she took the frisbee from him, letting out a playful -",joy
290,Kayaking is merriment together with sevylor inflatable kayaks: eYGgJxMl,joy
291,"Knowing how to cook is invaluable, what's even better is that even in a 400 sq ft place, I have wide and hearty homestyle egg noodles.",joy
292,Watch this amazing live.ly broadcast by @footballrocks123456  #musically,joy
293,Do what makes you successful and #happy now and forever,joy
294,I love Mary's undying optimism. You could present her with dog shite and she'd find something good to say. #GBBO,joy
295,Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife #smile #love #hardworkpaysoff #fun,joy
296,#smile every morning to a positive head start with your #clients relations,joy
297,@MoAmali @awosss @Arsenalman2011 listen I dn't subscribe to this team coq Team xhaka stuff. I like all our players. Depth has me elated,joy
298,Watch this amazing live.ly broadcast by @hannah..mccloud #lively #musically,joy
299,"And the weather so breezy, man why can't life always be this easy",joy
300,"Of cheerfulness, or a good temper - the more it is spent, the more of it remains.",joy
301,Watch this amazing live.ly broadcast by @mrgummyking #lively #musically,joy
302,Watch this amazing live.ly broadcast by @rosannahill #lively #musically,joy
303,Rec'd call 2day from Haitian church we started in Florida some 15yrs ago. Preparing to acquire their own bldg. Wanted me to know. #rejoicing,joy
304,"There's a specific joyous 20 song title engiybhekayo, yasezayoni. Need it for le mood",joy
305,promise of restoration to the nation of israel...'everywhere you look blessing '..barns/wine overflow.Everything beautiful  #do_u_see,joy
306,Look forward to the detours because they bring delightful surprises. #lifequote #delight,joy
307,Watch this amazing live.ly broadcast by @paulzimmer #lively #musically,joy
308,talk about a mood pickup i went from depressed to elated so fast,joy
309,Finn singing 'Can't Fight This Feeling' in the shower and Will spying on him is one of the best scenes on any show. ,joy
310,@NHLstoreNYC I'm cheering for @TeamNA_WCH and @TeamEUR_WCH #NHLNYCSweepstakes,joy
311,Watch this amazing live.ly broadcast by @evanhufferd #lively #musically,joy
312,@bradshawjp Sweet! #optimism,joy
313,Finn singing 'Can't Fight This Feeling' in the shower and Will spying on him is one of the best scenes on any show. #glee,joy
314,tfw you're en-route to your future :) !! @HUCJIR i'm coming for ya! #openhouse #futurecantor  #NYCletsgo,joy
315,It's Thursday which means it's Grey's day #TGIT #rejoice,joy
316,Watch this amazing live.ly broadcast by @kana_blender  #musically,joy
317,@ofc_ALDUBQC Glad you gained some cheery vibes just by looking at our Happy Meal! 😊,joy
