date,time,y,co_gt,nhmc,c6h6,s2,nox,s3,no2,s4,s5,t,rh,ah,level
10/29/2004,1:00:00,879,0.8,-200.0,2.9,645.0,83.0,1023.0,50.0,1288.0,612.0,18.2,74.7,1.5441,Low
8/12/2004,8:00:00,1205,2.2,-200.0,14.1,1118.0,122.0,,65.0,2019.0,1189.0,27.5,60.1,,High
4/20/2004,16:00:00,1129,-200.0,-200.0,13.7,1107.0,-200.0,844.0,-200.0,1742.0,940.0,25.9,26.9,0.8845,Very low
8/30/2004,23:00:00,988,-200.0,-200.0,7.1,862.0,-200.0,736.0,-200.0,1539.0,893.0,24.6,50.9,1.5508,Very low
1/15/2005,19:00:00,1474,5.2,-200.0,20.8,1319.0,816.0,496.0,194.0,1524.0,1784.0,7.9,69.9,0.7487,High
10/20/2004,0:00:00,1217,-200.0,-200.0,12.8,1077.0,,603.0,-200.0,,1270.0,19.0,71.6,1.5549,Very low
9/16/2004,17:00:00,1167,3.3,-200.0,17.7,1231.0,365.0,659.0,124.0,1745.0,1199.0,23.8,46.1,1.3373,High
7/31/2004,2:00:00,935,-200.0,,5.5,787.0,43.0,864.0,56.0,1588.0,,25.1,51.1,1.6044,Very low
1/23/2005,11:00:00,1066,-200.0,,7.3,871.0,326.0,775.0,178.0,996.0,1131.0,5.8,43.4,0.4032,Very low
8/14/2004,2:00:00,847,0.6,,2.5,618.0,30.0,1075.0,42.0,1442.0,529.0,25.1,55.3,1.733,Low
2/23/2005,8:00:00,1126,1.7,-200.0,7.7,886.0,337.0,719.0,197.0,1208.0,936.0,4.4,79.1,0.6687,High
10/8/2004,19:00:00,1472,3.1,-200.0,21.1,1327.0,323.0,,101.0,1895.0,1516.0,25.2,49.5,1.5665,High
11/1/2004,8:00:00,1067,1.5,-200.0,8.7,,213.0,711.0,51.0,1564.0,1309.0,19.1,75.6,1.6519,High
5/17/2004,22:00:00,964,1.2,-200.0,7.1,861.0,,1014.0,,1398.0,735.0,20.9,28.8,0.7014,High
9/5/2004,7:00:00,881,0.6,-200.0,2.9,647.0,-200.0,964.0,-200.0,1250.0,550.0,25.5,38.2,1.2296,Low
8/1/2004,9:00:00,1006,0.8,-200.0,5.5,789.0,46.0,824.0,36.0,1657.0,733.0,27.3,52.4,1.8707,Low
12/2/2004,0:00:00,1076,2.2,-200.0,8.1,903.0,316.0,1627.0,102.0,1330.0,958.0,11.6,81.0,1.1082,High
7/6/2004,11:00:00,1188,2.2,,13.7,1108.0,,,132.0,1818.0,1275.0,34.2,27.2,1.4404,High
4/8/2004,7:00:00,1274,2.6,226.0,13.8,1109.0,161.0,820.0,80.0,1723.0,1138.0,8.1,70.5,0.7627,High
7/7/2004,13:00:00,1068,2.2,-200.0,15.1,1152.0,193.0,739.0,142.0,1683.0,1309.0,42.6,9.6,0.8012,High
11/12/2004,16:00:00,1077,2.2,-200.0,9.8,969.0,337.0,690.0,135.0,1405.0,1023.0,16.8,58.9,1.1199,High
10/16/2004,20:00:00,1065,-200.0,-200.0,7.9,893.0,-200.0,819.0,-200.0,1397.0,799.0,14.7,75.5,1.2554,Very low
6/30/2004,4:00:00,864,,-200.0,2.6,629.0,28.0,1052.0,42.0,1558.0,728.0,26.9,51.8,1.805,Low
7/9/2004,10:00:00,1036,1.8,-200.0,9.4,955.0,166.0,829.0,130.0,1527.0,840.0,30.5,24.7,1.0592,High
11/2/2004,21:00:00,1461,5.9,-200.0,29.1,1529.0,668.0,,96.0,2111.0,1573.0,20.2,68.6,1.6034,High
12/6/2004,12:00:00,1171,2.5,-200.0,12.0,1049.0,438.0,655.0,119.0,1418.0,1338.0,18.4,52.6,1.1064,High
1/9/2005,5:00:00,919,0.6,-200.0,1.8,571.0,54.0,1017.0,44.0,1082.0,521.0,,63.8,0.9801,Low
2/2/2005,5:00:00,1040,2.0,-200.0,3.6,688.0,185.0,,,920.0,1090.0,3.7,62.9,0.5059,High
12/28/2004,2:00:00,939,-200.0,-200.0,2.9,648.0,-200.0,949.0,-200.0,1084.0,680.0,,66.9,0.8323,Very low
11/17/2004,19:00:00,1549,6.6,-200.0,30.1,1553.0,,446.0,288.0,1796.0,2032.0,13.0,55.1,0.8240000000000001,High
7/11/2004,1:00:00,925,1.0,-200.0,6.4,831.0,71.0,880.0,,1513.0,789.0,21.6,47.5,1.2118,
4/14/2004,17:00:00,1180,-200.0,-200.0,11.0,1014.0,-200.0,826.0,-200.0,1595.0,1036.0,18.7,34.8,,Very low
11/1/2004,5:00:00,1212,2.7,-200.0,15.0,1149.0,279.0,562.0,49.0,1710.0,1599.0,18.4,78.1,1.6369999999999998,High
8/15/2004,9:00:00,955,1.1,-200.0,6.0,811.0,61.0,841.0,59.0,1562.0,759.0,26.3,50.1,1.6889,High
6/13/2004,15:00:00,821,0.6,-200.0,2.4,,45.0,1309.0,49.0,1350.0,430.0,22.4,39.0,1.04,Low
10/27/2004,4:00:00,895,,-200.0,3.1,656.0,80.0,946.0,51.0,1343.0,786.0,17.0,81.0,1.5521,Very low
11/13/2004,11:00:00,1347,3.8,-200.0,17.6,1227.0,589.0,539.0,199.0,1627.0,1476.0,21.1,44.5,1.0964,High
12/7/2004,13:00:00,1289,3.0,-200.0,18.0,1239.0,396.0,733.0,,1635.0,1469.0,18.8,49.3,1.0581,High
3/25/2004,20:00:00,1389,4.6,698.0,21.6,1341.0,,692.0,133.0,1982.0,1488.0,12.6,52.5,0.7642,High
12/13/2004,11:00:00,1422,4.8,-200.0,22.4,1362.0,920.0,,214.0,1509.0,1956.0,12.0,45.9,0.6421,High
2/15/2005,21:00:00,1155,3.1,-200.0,11.6,1034.0,445.0,,196.0,1061.0,1429.0,8.2,30.1,0.327,High
10/19/2004,6:00:00,1117,-200.0,-200.0,11.5,1031.0,-200.0,669.0,-200.0,1528.0,1107.0,15.2,73.4,1.2626,Very low
12/19/2004,23:00:00,1183,2.9,-200.0,9.1,944.0,382.0,731.0,126.0,1226.0,1092.0,6.6,83.3,0.8183,High
2/15/2005,20:00:00,1149,3.1,-200.0,14.2,1124.0,410.0,623.0,187.0,1141.0,1405.0,8.9,26.9,0.3069,High
10/28/2004,22:00:00,924,1.0,-200.0,4.8,754.0,103.0,890.0,63.0,1327.0,783.0,20.4,60.4,1.4263,Moderate
5/27/2004,5:00:00,882,-200.0,-200.0,4.1,715.0,-200.0,1246.0,-200.0,1367.0,780.0,15.5,48.6,0.8505,Very low
4/9/2004,8:00:00,-200,2.9,299.0,-200.0,-200.0,215.0,-200.0,117.0,-200.0,-200.0,-200.0,-200.0,-200.0,High
10/17/2004,3:00:00,912,-200.0,-200.0,3.6,690.0,-200.0,984.0,-200.0,1309.0,574.0,15.8,75.5,1.3436,Very low
8/23/2004,6:00:00,809,-200.0,,3.8,701.0,-200.0,997.0,-200.0,1384.0,649.0,21.1,51.6,1.2784,Very low
4/25/2004,21:00:00,940,1.4,95.0,5.1,769.0,100.0,1103.0,90.0,1310.0,731.0,15.5,37.0,0.6447,High
5/13/2004,0:00:00,1003,1.6,-200.0,6.5,836.0,98.0,949.0,96.0,1455.0,748.0,16.2,,,High
12/21/2004,19:00:00,1081,3.6,,15.5,1164.0,457.0,705.0,165.0,1171.0,1283.0,6.9,40.3,0.4025,High
4/3/2004,14:00:00,1257,-200.0,-200.0,10.8,1006.0,-200.0,915.0,-200.0,1573.0,870.0,24.8,27.0,0.8325,Very low
10/24/2004,20:00:00,1324,3.4,-200.0,15.6,1168.0,375.0,568.0,99.0,1716.0,1959.0,21.8,63.0,1.619,High
1/5/2005,10:00:00,1585,4.8,-200.0,19.3,1277.0,845.0,456.0,173.0,1567.0,1944.0,9.8,65.8,0.7967,High
4/2/2004,14:00:00,1303,2.7,391.0,14.7,1139.0,152.0,790.0,126.0,1761.0,1138.0,24.7,30.5,0.9371,High
9/5/2004,5:00:00,913,0.9,-200.0,4.4,734.0,-200.0,,-200.0,1338.0,646.0,25.6,37.6,1.2131,Low
11/28/2004,8:00:00,909,1.0,-200.0,,624.0,157.0,1056.0,74.0,1073.0,736.0,8.6,77.2,0.8617,Moderate
3/12/2004,14:00:00,1287,2.7,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,,0.6559999999999999,High
9/22/2004,0:00:00,962,1.1,-200.0,5.9,808.0,99.0,866.0,74.0,1430.0,868.0,22.6,56.3,1.5233,High
5/16/2004,11:00:00,1017,1.6,-200.0,7.9,897.0,96.0,1013.0,92.0,1400.0,780.0,28.2,19.0,0.7164,High
9/18/2004,11:00:00,895,1.2,-200.0,5.2,776.0,178.0,1024.0,82.0,1274.0,640.0,26.6,30.7,1.0501,High
4/24/2004,16:00:00,1278,,205.0,10.7,1003.0,99.0,845.0,95.0,1691.0,909.0,27.0,31.8,1.1176,High
11/5/2004,17:00:00,1870,8.1,-200.0,45.0,1871.0,1001.0,351.0,180.0,2483.0,2165.0,23.0,54.2,1.5066,High
7/22/2004,23:00:00,1276,2.5,-200.0,14.6,1135.0,143.0,625.0,105.0,1887.0,1436.0,29.4,38.7,,High
4/14/2004,23:00:00,1060,-200.0,-200.0,5.8,,-200.0,964.0,-200.0,1418.0,1089.0,13.4,54.2,0.8319,Very low
6/22/2004,10:00:00,1128,2.8,-200.0,14.3,1126.0,269.0,725.0,,1856.0,1316.0,27.1,31.7,1.1147,
11/21/2004,13:00:00,1100,1.9,-200.0,11.2,1022.0,492.0,752.0,193.0,1101.0,1367.0,12.2,30.0,0.4245,High
10/25/2004,14:00:00,1454,3.8,-200.0,23.1,1380.0,568.0,457.0,117.0,1947.0,1672.0,21.5,60.9,1.5398,High
7/18/2004,23:00:00,1132,1.2,-200.0,11.0,1014.0,,728.0,101.0,1628.0,1279.0,27.9,,1.1249,High
2/20/2005,18:00:00,1033,1.3,-200.0,3.4,675.0,173.0,853.0,127.0,1006.0,702.0,8.0,57.7,0.6222,High
6/10/2004,12:00:00,1220,2.8,,15.3,1157.0,,715.0,148.0,1935.0,1224.0,35.4,26.1,1.4806,High
9/13/2004,6:00:00,1053,-200.0,-200.0,8.3,913.0,-200.0,824.0,-200.0,1578.0,1033.0,19.7,70.3,1.5925,Very low
5/8/2004,16:00:00,903,-200.0,-200.0,5.4,786.0,-200.0,,-200.0,1375.0,523.0,19.8,35.4,0.8099,Very low
11/12/2004,14:00:00,1092,2.3,-200.0,9.9,975.0,310.0,690.0,125.0,1418.0,990.0,17.4,57.3,1.1328,High
4/30/2004,21:00:00,1363,3.1,234.0,15.1,1152.0,189.0,684.0,110.0,1951.0,1495.0,18.2,,1.3529,High
1/20/2005,3:00:00,828,0.7,-200.0,1.2,514.0,-200.0,1205.0,-200.0,880.0,434.0,,,0.5742,Low
6/17/2004,3:00:00,831,0.8,,4.3,727.0,,1038.0,,1522.0,802.0,19.3,57.1,1.2661,Low
8/11/2004,1:00:00,1066,1.2,-200.0,,839.0,47.0,740.0,49.0,1700.0,993.0,27.2,,2.0997,High
7/23/2004,22:00:00,1144,1.7,-200.0,11.0,1014.0,110.0,712.0,86.0,1744.0,1146.0,29.0,36.6,,High
5/5/2004,19:00:00,1000,1.6,-200.0,8.5,918.0,68.0,881.0,67.0,1661.0,802.0,,63.9,1.2667,High
5/23/2004,16:00:00,1059,1.5,-200.0,6.1,816.0,77.0,1023.0,73.0,1468.0,641.0,25.9,28.7,0.9423,High
6/29/2004,7:00:00,1384,3.4,-200.0,23.5,1391.0,228.0,552.0,102.0,2316.0,1548.0,24.7,49.5,1.5201,High
11/18/2004,10:00:00,1446,5.6,-200.0,22.9,1374.0,1195.0,499.0,282.0,1560.0,1818.0,11.4,58.3,0.7868,High
7/23/2004,12:00:00,1168,2.1,-200.0,15.4,1160.0,,671.0,132.0,1784.0,1193.0,40.1,17.5,1.2721,High
4/12/2004,15:00:00,1025,1.2,78.0,3.6,689.0,89.0,1189.0,77.0,1325.0,519.0,11.4,61.2,,High
10/7/2004,2:00:00,950,-200.0,-200.0,3.7,696.0,-200.0,894.0,-200.0,1375.0,875.0,20.3,66.3,1.5657,Very low
8/9/2004,19:00:00,-200,2.2,-200.0,-200.0,-200.0,88.0,-200.0,96.0,-200.0,-200.0,-200.0,-200.0,-200.0,High
11/6/2004,8:00:00,1231,2.8,-200.0,,1134.0,448.0,587.0,87.0,1572.0,1143.0,14.6,74.2,1.2256,High
5/12/2004,1:00:00,986,0.8,-200.0,5.2,771.0,54.0,964.0,67.0,1518.0,947.0,17.6,57.6,,Low
5/30/2004,13:00:00,771,0.1,-200.0,2.6,626.0,34.0,1502.0,,1210.0,430.0,29.1,19.6,0.7771,Low
8/15/2004,18:00:00,831,0.8,-200.0,3.4,679.0,37.0,1143.0,60.0,1291.0,526.0,33.8,21.9,1.1303,Low
6/25/2004,5:00:00,811,0.6,-200.0,,651.0,35.0,1097.0,46.0,1442.0,579.0,21.9,50.7,1.3138,Low
4/7/2004,14:00:00,997,1.4,112.0,6.1,,84.0,1030.0,79.0,1426.0,626.0,14.4,51.8,0.8433,High
12/10/2004,21:00:00,872,2.6,-200.0,,,386.0,918.0,147.0,910.0,946.0,12.7,21.3,0.3119,High
11/27/2004,9:00:00,1453,3.8,-200.0,16.3,1190.0,637.0,583.0,121.0,1644.0,1358.0,13.4,78.8,1.2104,High
6/3/2004,2:00:00,893,-200.0,-200.0,4.6,741.0,31.0,1056.0,36.0,1664.0,743.0,18.9,79.0,1.704,Very low
8/19/2004,14:00:00,961,1.0,-200.0,5.8,803.0,23.0,852.0,34.0,1552.0,618.0,37.1,27.2,1.6874,Moderate
11/12/2004,1:00:00,968,1.6,-200.0,5.4,785.0,239.0,872.0,111.0,1209.0,826.0,12.9,70.5,1.0442,High
10/3/2004,1:00:00,1037,-200.0,-200.0,6.5,836.0,-200.0,788.0,-200.0,1467.0,904.0,20.7,63.2,1.524,
7/3/2004,19:00:00,947,1.4,-200.0,,926.0,81.0,905.0,90.0,1484.0,659.0,31.9,20.4,0.9462,High
12/21/2004,2:00:00,691,0.5,-200.0,0.7,,63.0,1552.0,53.0,698.0,357.0,5.6,37.7,0.3444,Low
8/17/2004,6:00:00,929,1.0,-200.0,5.6,791.0,59.0,841.0,41.0,1493.0,789.0,22.2,53.9,1.4201,Moderate
6/6/2004,10:00:00,806,0.9,-200.0,3.4,675.0,61.0,1270.0,61.0,1414.0,528.0,23.1,39.4,1.0983,Low
12/8/2004,10:00:00,1111,1.7,-200.0,7.6,884.0,310.0,751.0,81.0,1280.0,1025.0,13.1,66.2,0.9933,High
10/21/2004,21:00:00,1525,4.3,-200.0,24.9,1427.0,439.0,450.0,,2085.0,1577.0,23.6,62.2,1.7863,High
9/1/2004,10:00:00,1114,2.2,-200.0,12.8,1077.0,319.0,633.0,121.0,1705.0,1199.0,29.1,35.4,1.4008,High
5/14/2004,10:00:00,1095,2.5,,11.1,1019.0,186.0,815.0,113.0,1618.0,1181.0,22.8,32.4,0.887,High
3/21/2004,12:00:00,1267,1.8,,7.6,883.0,103.0,953.0,82.0,1617.0,906.0,19.4,46.1,1.0249,
12/15/2004,15:00:00,-200,4.0,-200.0,-200.0,-200.0,842.0,-200.0,183.0,-200.0,-200.0,-200.0,-200.0,-200.0,High
10/19/2004,15:00:00,1242,-200.0,-200.0,15.3,1158.0,-200.0,602.0,-200.0,1682.0,1252.0,22.8,53.0,1.4482,Very low
2/12/2005,15:00:00,1507,3.3,-200.0,15.7,1170.0,574.0,488.0,224.0,1392.0,1999.0,11.0,51.4,0.6725,
2/17/2005,0:00:00,1196,2.7,-200.0,11.0,1014.0,375.0,643.0,192.0,1101.0,1334.0,5.4,43.8,0.3945,High
2/18/2005,16:00:00,1069,1.8,-200.0,8.4,918.0,276.0,724.0,164.0,,936.0,11.6,30.9,0.4223,High
4/27/2004,15:00:00,1187,2.7,277.0,14.8,1142.0,149.0,840.0,110.0,1651.0,1011.0,,23.8,0.7737,High
8/28/2004,16:00:00,962,-200.0,-200.0,,845.0,-200.0,877.0,-200.0,1379.0,575.0,,20.3,1.18,Very low
11/4/2004,5:00:00,846,0.5,-200.0,2.6,628.0,79.0,1025.0,40.0,1218.0,727.0,16.1,73.5,1.3329,Low
7/30/2004,23:00:00,1052,-200.0,-200.0,10.7,1002.0,81.0,716.0,85.0,1667.0,908.0,27.0,,1.4596,Very low
10/7/2004,23:00:00,1162,1.7,-200.0,10.8,1008.0,183.0,658.0,60.0,1556.0,1160.0,20.9,61.3,1.4923,High
5/29/2004,2:00:00,892,0.6,-200.0,5.1,767.0,71.0,1180.0,,1466.0,657.0,18.0,51.4,1.0504,Low
5/2/2004,23:00:00,1080,2.0,-200.0,8.3,,153.0,923.0,121.0,1548.0,929.0,19.1,44.1,0.966,High
5/10/2004,9:00:00,1378,4.4,-200.0,20.2,1303.0,257.0,633.0,117.0,2051.0,1494.0,17.8,51.1,1.0362,High
4/18/2004,7:00:00,915,-200.0,-200.0,2.4,612.0,-200.0,1266.0,-200.0,1411.0,506.0,14.2,72.3,1.1632,Very low
10/28/2004,21:00:00,988,1.5,-200.0,6.6,839.0,177.0,805.0,88.0,,937.0,20.1,60.8,1.4152,High
4/4/2004,22:00:00,1196,-200.0,-200.0,6.9,853.0,-200.0,909.0,-200.0,1556.0,769.0,15.8,58.8,1.0464,Very low
1/18/2005,10:00:00,1476,5.8,-200.0,25.0,1428.0,1049.0,477.0,235.0,1536.0,1974.0,5.6,52.9,0.4841,High
11/14/2004,19:00:00,836,1.2,-200.0,,653.0,207.0,1798.0,99.0,978.0,537.0,8.4,,0.6155,High
9/5/2004,16:00:00,823,0.8,-200.0,2.7,633.0,-200.0,1228.0,-200.0,1103.0,366.0,33.0,17.5,0.8683,Low
8/23/2004,0:00:00,932,-200.0,-200.0,6.2,,-200.0,817.0,-200.0,1462.0,921.0,23.6,45.4,,Very low
5/7/2004,3:00:00,826,0.6,-200.0,,616.0,-200.0,1227.0,-200.0,1384.0,575.0,13.9,67.7,1.0712,Low
10/12/2004,12:00:00,985,-200.0,-200.0,9.5,957.0,-200.0,773.0,-200.0,1426.0,860.0,20.8,,1.1126,Very low
6/12/2004,15:00:00,1062,1.2,-200.0,8.6,924.0,69.0,892.0,76.0,1683.0,777.0,37.0,20.1,1.2423,High
5/5/2004,8:00:00,1449,-200.0,-200.0,22.0,1350.0,-200.0,571.0,-200.0,2264.0,1452.0,16.4,70.8,1.3088,Very low
11/22/2004,20:00:00,1706,6.5,-200.0,33.9,1641.0,1218.0,381.0,,1778.0,2522.0,8.9,54.2,0.6183,High
10/11/2004,1:00:00,1021,1.4,-200.0,6.0,811.0,135.0,794.0,52.0,1502.0,837.0,20.2,67.9,1.5901,High
9/7/2004,15:00:00,919,1.4,-200.0,7.1,862.0,-200.0,851.0,-200.0,1293.0,697.0,31.6,20.8,0.9562,High
11/20/2004,10:00:00,1087,2.9,-200.0,17.1,1213.0,,668.0,243.0,1216.0,1402.0,11.9,27.9,0.3882,High
12/19/2004,7:00:00,828,,-200.0,3.1,660.0,156.0,1078.0,85.0,881.0,781.0,,60.1,,Low
7/29/2004,12:00:00,998,-200.0,-200.0,10.1,981.0,116.0,786.0,117.0,1480.0,797.0,35.3,16.7,0.9402,Very low
7/25/2004,23:00:00,1022,1.5,-200.0,6.3,826.0,82.0,857.0,,1627.0,777.0,26.9,45.5,1.5926,High
10/24/2004,1:00:00,1165,2.1,-200.0,11.8,1042.0,227.0,631.0,68.0,1621.0,1133.0,19.5,70.7,1.5851,High
5/5/2004,17:00:00,981,1.6,-200.0,10.0,978.0,79.0,857.0,72.0,1682.0,835.0,17.7,56.9,1.1392,High
1/21/2005,5:00:00,1118,1.3,-200.0,6.6,,284.0,702.0,117.0,1056.0,1368.0,5.5,,0.6054,High
6/29/2004,23:00:00,1194,2.2,-200.0,13.7,1106.0,100.0,667.0,97.0,1985.0,1194.0,28.2,48.1,1.8144,High
7/29/2004,11:00:00,1043,,-200.0,14.0,1117.0,178.0,742.0,150.0,1586.0,1076.0,34.4,16.6,0.8892,Very low
10/16/2004,22:00:00,942,-200.0,,4.0,712.0,,979.0,-200.0,1303.0,734.0,17.2,66.7,1.2987,Very low
4/18/2004,4:00:00,929,-200.0,-200.0,,664.0,-200.0,1144.0,-200.0,1449.0,536.0,14.3,69.6,1.1257,Very low
2/7/2005,17:00:00,1022,1.7,-200.0,6.9,854.0,285.0,771.0,187.0,941.0,926.0,,27.8,0.3525,
7/23/2004,11:00:00,1142,1.8,-200.0,11.2,1021.0,132.0,712.0,120.0,1670.0,1159.0,37.3,22.9,1.4369,High
4/23/2004,21:00:00,1211,1.8,145.0,10.9,1010.0,98.0,816.0,98.0,1619.0,1246.0,20.5,41.5,0.9864,High
1/3/2005,17:00:00,-200,3.3,-200.0,-200.0,-200.0,487.0,,162.0,-200.0,-200.0,,-200.0,-200.0,
9/7/2004,20:00:00,1172,3.3,-200.0,15.3,1159.0,-200.0,597.0,-200.0,1653.0,1290.0,,30.8,1.1112,High
8/8/2004,19:00:00,1010,1.5,-200.0,6.5,836.0,,848.0,79.0,1577.0,616.0,31.1,38.8,1.7295,High
5/17/2004,18:00:00,1153,3.1,-200.0,15.6,1168.0,163.0,842.0,121.0,1644.0,1021.0,24.3,19.8,0.5933,High
4/11/2004,21:00:00,925,1.1,63.0,3.5,680.0,60.0,,76.0,1217.0,481.0,15.5,36.7,0.6438,High
11/30/2004,7:00:00,999,1.1,-200.0,3.6,690.0,193.0,1027.0,86.0,1192.0,707.0,11.8,80.7,,High
12/13/2004,13:00:00,1410,4.1,-200.0,22.4,,696.0,690.0,187.0,1515.0,2014.0,13.9,42.8,0.6761,High
11/2/2004,12:00:00,1426,4.9,-200.0,25.6,1445.0,,477.0,151.0,1970.0,1782.0,24.0,50.0,1.4679,High
10/15/2004,2:00:00,862,-200.0,-200.0,3.0,649.0,-200.0,1046.0,-200.0,1289.0,675.0,14.4,84.6,1.3794,Very low
8/10/2004,21:00:00,1106,1.6,,8.6,924.0,58.0,725.0,62.0,1757.0,910.0,30.7,48.1,2.0821,High
12/6/2004,6:00:00,913,0.9,-200.0,3.8,701.0,181.0,926.0,72.0,1219.0,750.0,12.0,80.1,1.1231,Low
3/14/2004,6:00:00,1076,1.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,Moderate
11/26/2004,13:00:00,1539,4.9,-200.0,22.7,1371.0,,488.0,196.0,1712.0,1943.0,15.5,56.2,0.9814,High
