"amount","account_id","memo","transaction_date","processed_Memo","name"
"-521509","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","PAYROLL DEPOSIT -IDS MANAGEMENT","2018-12-31 00:00:00","payroll deposit ids management","checking"
"7100","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 2029","2018-12-31 00:00:00","www transfer","checking"
"-62725","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 1556","2018-12-31 00:00:00","www transfer","checking"
"2500","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW PAYMENT - 4156 -ROGERS BANK","2018-12-31 00:00:00","www payment rogers bank","checking"
"-1000","Qnyyop9MdLcRBd1wqBAdTAOxQnPOrnIEQXemb","INTERAC E-TRANSFER RECEIVED 20183651819861ABF","2018-12-31 00:00:00","interac e transfer received abf","checking"
"-220000","Qnyyop9MdLcRBd1wqBAdTAOxQnPOrnIEQXemb","INTERAC E-TRANSFER RECEIVED 201836518145652A2","2018-12-31 00:00:00","interac e transfer received a","checking"
"25200","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 8081","2018-12-31 00:00:00","www transfer","checking"
"62725","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","PC/WWW FGN EXCHANGE -REF 3WW233641842240","2018-12-31 00:00:00","pc www fgn exchange ref 3ww","checking"
"62725","KXdbjenBz0h1ZXvo6oZEC5q47Xn89PSQ0XL4X","WWW TRF DDA - 1556","2018-12-31 00:00:00","www trf dda","savings"
"3000","Qnyyop9MdLcRBd1wqBAdTAOxQnPOrnIEQXemb","PREMIUM PLAN","2018-12-31 00:00:00","premium plan","checking"
"1000","Qnyyop9MdLcRBd1wqBAdTAOxQnPOrnIEQXemb","TF 0005524890010737922","2018-12-31 00:00:00","tf","checking"
"2300","Qnyyop9MdLcRBd1wqBAdTAOxQnPOrnIEQXemb","TF 0005524890010737922","2018-12-31 00:00:00","tf","checking"
"885","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","THE GRILLE RESTUARANT ETOBICOKE ON","2018-12-31 00:00:00","the grille restuarant etobicoke on","credit card"
"904","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","MAROUF TOCHAL THORNHILL ON","2018-12-31 00:00:00","marouf tochal thornhill on","credit card"
"23890","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","METRO #720 TORONTO ON","2018-12-31 00:00:00","metro toronto on","credit card"
"-1900","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-31 00:00:00","payment thank you paiement merci","credit card"
"1526","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","OSMOW'S GRILL TORONTO ON","2018-12-31 00:00:00","osmow s grill toronto on","credit card"
"-25200","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-31 00:00:00","payment thank you paiement merci","credit card"
"554","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Starbucks","2018-12-31 00:00:00","starbucks","credit card"
"5697","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","CINEPLEX 7260 QPS ETOBICOKE ON","2018-12-31 00:00:00","cineplex qps etobicoke on","credit card"
"995","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","LCBO/RAO #018 TORONTO ON","2018-12-31 00:00:00","lcbo rao toronto on","credit card"
"-3900","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-28 00:00:00","payment thank you paiement merci","credit card"
"7277","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 3204","2018-12-28 00:00:00","www transfer","checking"
"2500","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","INVESTMENT -SPECIAL DEPOSIT","2018-12-28 00:00:00","investment special deposit","checking"
"3900","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 0152","2018-12-28 00:00:00","www transfer","checking"
"-185000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 3423","2018-12-28 00:00:00","www transfer","checking"
"185000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW PAYMENT - N4057","2018-12-28 00:00:00","www payment n","checking"
"185000","KXdbjenBz0h1ZXvo6oZEC5q47Xn89PSQ0XL4X","WWW TRF DDA - 3423","2018-12-28 00:00:00","www trf dda","savings"
"921","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Starbucks","2018-12-28 00:00:00","starbucks","credit card"
"-7277","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-28 00:00:00","payment thank you paiement merci","credit card"
"1794","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Wendy's","2018-12-28 00:00:00","wendy s","credit card"
"23086","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","ROGERS *706726601 ON","2018-12-28 00:00:00","rogers on","credit card"
"554","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Starbucks","2018-12-27 00:00:00","starbucks","credit card"
"12363","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","MASSIMO DUTTI FCP #4879 TORONTO ON","2018-12-27 00:00:00","massimo dutti fcp toronto on","credit card"
"3000","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PETROCAN-12871 YONGE ST RICHMOND HILLON","2018-12-27 00:00:00","petrocan yonge st richmond hillon","credit card"
"14035","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","ETIKET.CA 4029357733 QC","2018-12-27 00:00:00","etiket ca qc","credit card"
"36402","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","HARBOUR SIXTY STEAKHOUSE TORONTO ON","2018-12-27 00:00:00","harbour sixty steakhouse toronto on","credit card"
"3635","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","ULTRAMEN TORONTO ON","2018-12-27 00:00:00","ultramen toronto on","credit card"
"-1500","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-27 00:00:00","payment thank you paiement merci","credit card"
"1123","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","DNH*GODADDY.COM CAD BC","2018-12-27 00:00:00","dnh godaddy com cad bc","credit card"
"2100","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 2821","2018-12-27 00:00:00","www transfer","checking"
"1407","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","C-IDP PURCHASE-1431 -THE KITCHEN TAB","2018-12-27 00:00:00","c idp purchase the kitchen tab","checking"
"2300","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","PTB WD --- 00103979","2018-12-27 00:00:00","ptb wd","checking"
"5000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRF DDA - 3454","2018-12-27 00:00:00","www trf dda","checking"
"210000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","INTERAC E-TRF- 2692","2018-12-27 00:00:00","interac e trf","checking"
"23100","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 7233","2018-12-27 00:00:00","www transfer","checking"
"2500","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW PAYMENT - 3769 -ROGERS BANK","2018-12-27 00:00:00","www payment rogers bank","checking"
"399","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","C-IDP PURCHASE-1832 -PARISCO MARKET","2018-12-27 00:00:00","c idp purchase parisco market","checking"
"40000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 2203","2018-12-27 00:00:00","www transfer","checking"
"1500","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 0118","2018-12-27 00:00:00","www transfer","checking"
"2000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","MISC PAYMENT -PAYPAL","2018-12-27 00:00:00","misc payment paypal","checking"
"150","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","INTERAC-SC-3979","2018-12-27 00:00:00","interac sc","checking"
"-5000","KXdbjenBz0h1ZXvo6oZEC5q47Xn89PSQ0XL4X","WWW TRANSFER - 3454","2018-12-27 00:00:00","www transfer","savings"
"564","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Shoppers Drug Mart","2018-12-27 00:00:00","shoppers drug mart","credit card"
"2712","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","MEG TORONTO ON","2018-12-27 00:00:00","meg toronto on","credit card"
"1694","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Domino's","2018-12-27 00:00:00","domino s","credit card"
"-40000","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-27 00:00:00","payment thank you paiement merci","credit card"
"2257","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Home Depot","2018-12-27 00:00:00","home depot","credit card"
"9353","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","CB2 330 TORONTO ON","2018-12-27 00:00:00","cb2 toronto on","credit card"
"-23100","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-27 00:00:00","payment thank you paiement merci","credit card"
"-2100","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-27 00:00:00","payment thank you paiement merci","credit card"
"9888","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","ZANE TORONTO ON","2018-12-27 00:00:00","zane toronto on","credit card"
"3951","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","BMV BOOKSTORE TORONTO ON","2018-12-27 00:00:00","bmv bookstore toronto on","credit card"
"699","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","iTunes","2018-12-27 00:00:00","itunes","credit card"
"554","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Starbucks","2018-12-27 00:00:00","starbucks","credit card"
"257","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Starbucks","2018-12-27 00:00:00","starbucks","credit card"
"745","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","BAGEL WORLD THORNHILL ON","2018-12-24 00:00:00","bagel world thornhill on","credit card"
"1177","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Home Depot","2018-12-24 00:00:00","home depot","credit card"
"4355","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PETROCAN-5 RED MAPLE RD RICHMOND HILLON","2018-12-24 00:00:00","petrocan red maple rd richmond hillon","credit card"
"961","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","MANA ISH GLOBAL FLATBREADTORONTO ON","2018-12-24 00:00:00","mana ish global flatbreadtoronto on","credit card"
"-40000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW3RD PTY DEP-0973","2018-12-24 00:00:00","www3rd pty dep","checking"
"-1000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 4398","2018-12-24 00:00:00","www transfer","checking"
"1000","KXdbjenBz0h1ZXvo6oZEC5q47Xn89PSQ0XL4X","WWW TRF DDA - 4398","2018-12-24 00:00:00","www trf dda","savings"
"1611","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PARISCO MARKET TORONTO ON","2018-12-24 00:00:00","parisco market toronto on","credit card"
"258","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Home Depot","2018-12-24 00:00:00","home depot","credit card"
"952","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","JIMMY'S COFFEE TORONTO ON","2018-12-24 00:00:00","jimmy s coffee toronto on","credit card"
"368","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","MANA ISH GLOBAL FLATBREADTORONTO ON","2018-12-24 00:00:00","mana ish global flatbreadtoronto on","credit card"
"2370","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","CUMBRAES QUEEN ST. WEST TORONTO ON","2018-12-24 00:00:00","cumbraes queen st west toronto on","credit card"
"16047","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","MEGABUS CANADA ONTARIO ON","2018-12-21 00:00:00","megabus canada ontario on","credit card"
"1495","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","MONTHLY FEE","2018-12-21 00:00:00","monthly fee","checking"
"16047","AZyjPebQz1TyZ0p3X3ZgfpD9dLeYxQF6d9Z3J","WWW TRF DDA - 9322","2018-12-20 00:00:00","www trf dda","savings"
"-3500","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-20 00:00:00","payment thank you paiement merci","credit card"
"2990","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","GUSTO 101 TORONTO ON","2018-12-20 00:00:00","gusto toronto on","credit card"
"477","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","NANDO'S QUEEN WEST TORONTO ON","2018-12-20 00:00:00","nando s queen west toronto on","credit card"
"4387","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","NANDO'S QUEEN WEST TORONTO ON","2018-12-20 00:00:00","nando s queen west toronto on","credit card"
"-20000","KXdbjenBz0h1ZXvo6oZEC5q47Xn89PSQ0XL4X","WWW TRANSFER - 5118","2018-12-20 00:00:00","www transfer","savings"
"16100","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 4899","2018-12-20 00:00:00","www transfer","checking"
"-20000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW3RD PTY DEP-7969","2018-12-20 00:00:00","www3rd pty dep","checking"
"3500","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 5384","2018-12-20 00:00:00","www transfer","checking"
"13768","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","PC/WWW FGN EXCHANGE -REF 3WW893540912250","2018-12-20 00:00:00","pc www fgn exchange ref 3ww","checking"
"100000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","INTERAC E-TRF- 3611","2018-12-20 00:00:00","interac e trf","checking"
"-13768","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 5840","2018-12-20 00:00:00","www transfer","checking"
"-200000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","PTB DEP -- TX604692","2018-12-20 00:00:00","ptb dep tx","checking"
"-16047","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 9322","2018-12-20 00:00:00","www transfer","checking"
"100000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRF DDA - 3535","2018-12-20 00:00:00","www trf dda","checking"
"20000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRF DDA - 5118","2018-12-20 00:00:00","www trf dda","checking"
"-5000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW3RD PTY DEP-0468","2018-12-20 00:00:00","www3rd pty dep","checking"
"-100000","KXdbjenBz0h1ZXvo6oZEC5q47Xn89PSQ0XL4X","WWW TRANSFER - 3535","2018-12-20 00:00:00","www transfer","savings"
"13768","KXdbjenBz0h1ZXvo6oZEC5q47Xn89PSQ0XL4X","WWW TRF DDA - 5840","2018-12-20 00:00:00","www trf dda","savings"
"-16100","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-20 00:00:00","payment thank you paiement merci","credit card"
"655","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","SUBWAY #22210 TORONTO ON","2018-12-20 00:00:00","subway toronto on","credit card"
"1693","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Home Depot","2018-12-19 00:00:00","home depot","credit card"
"-2000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW3RD PTY DEP-8700","2018-12-19 00:00:00","www3rd pty dep","checking"
"968","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","MISC PAYMENT -PAYPAL","2018-12-19 00:00:00","misc payment paypal","checking"
"76","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","MISC PAYMENT -PAYPAL","2018-12-19 00:00:00","misc payment paypal","checking"
"257","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Starbucks","2018-12-19 00:00:00","starbucks","credit card"
"1424","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Starbucks","2018-12-18 00:00:00","starbucks","credit card"
"2719","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","FRESHII - KING & BATHURSTTORONTO ON","2018-12-18 00:00:00","freshii king bathursttoronto on","credit card"
"-3000","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-18 00:00:00","payment thank you paiement merci","credit card"
"2494","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","407-ETR-WEB WOODBRIDGE ON","2018-12-18 00:00:00","407 etr web woodbridge on","credit card"
"610","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Starbucks","2018-12-18 00:00:00","starbucks","credit card"
"2000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","MISC PAYMENT -PAYPAL","2018-12-18 00:00:00","misc payment paypal","checking"
"1","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","OD INTEREST","2018-12-18 00:00:00","od interest","checking"
"33000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRF DDA - 9897","2018-12-18 00:00:00","www trf dda","checking"
"-5000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW3RD PTY DEP-4813","2018-12-18 00:00:00","www3rd pty dep","checking"
"-33000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW3RD PTY DEP-5017","2018-12-18 00:00:00","www3rd pty dep","checking"
"3000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 6752","2018-12-18 00:00:00","www transfer","checking"
"1565","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","MISC PAYMENT -PAYPAL","2018-12-18 00:00:00","misc payment paypal","checking"
"-33000","KXdbjenBz0h1ZXvo6oZEC5q47Xn89PSQ0XL4X","WWW TRANSFER - 9897","2018-12-18 00:00:00","www transfer","savings"
"-5134","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","KITCHEN STUFF PLUS #12 TORONTO ON","2018-12-18 00:00:00","kitchen stuff plus toronto on","credit card"
"54655","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Airbnb","2018-12-18 00:00:00","airbnb","credit card"
"3376","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","KINTON RAMEN 3 TORONTO ON","2018-12-18 00:00:00","kinton ramen toronto on","credit card"
"1137","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","BANKNOTE BAR TORONTO ON","2018-12-18 00:00:00","banknote bar toronto on","credit card"
"3000","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","ESSO 952 KING STREET WESTTORONTO ON","2018-12-18 00:00:00","esso king street westtoronto on","credit card"
"2373","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","MR. GREEK#106 TORONTO ON","2018-12-17 00:00:00","mr greek toronto on","credit card"
"-1424","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-17 00:00:00","payment thank you paiement merci","credit card"
"11187","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","THE DOT TORONTO ON","2018-12-17 00:00:00","the dot toronto on","credit card"
"1090","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","OSMOW'S GRILL TORONTO ON","2018-12-17 00:00:00","osmow s grill toronto on","credit card"
"-57100","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-17 00:00:00","payment thank you paiement merci","credit card"
"-200300","keZmE49LqATJR7kOjORYcqzbygY6MKhRMjpNK","WWW TRANSFER - 0503","2018-12-17 00:00:00","www transfer","savings"
"3400","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 3960","2018-12-17 00:00:00","www transfer","checking"
"-53500","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW3RD PTY DEP-6335","2018-12-17 00:00:00","www3rd pty dep","checking"
"-30000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW3RD PTY DEP-9569","2018-12-17 00:00:00","www3rd pty dep","checking"
"610","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 0937","2018-12-17 00:00:00","www transfer","checking"
"11100","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 4146","2018-12-17 00:00:00","www transfer","checking"
"9500","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","INTERAC E-TRF- 7157","2018-12-17 00:00:00","interac e trf","checking"
"-200300","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW3RD PTY DEP-9390","2018-12-17 00:00:00","www3rd pty dep","checking"
"-1000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW3RD PTY DEP-1277","2018-12-17 00:00:00","www3rd pty dep","checking"
"7300","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 2335","2018-12-17 00:00:00","www transfer","checking"
"3000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 5013","2018-12-17 00:00:00","www transfer","checking"
"7246","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","MISC PAYMENT -FCDQ","2018-12-17 00:00:00","misc payment fcdq","checking"
"36000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 0760","2018-12-17 00:00:00","www transfer","checking"
"1424","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 2091","2018-12-17 00:00:00","www transfer","checking"
"5496","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 0748","2018-12-17 00:00:00","www transfer","checking"
"-5000","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW3RD PTY DEP-5859","2018-12-17 00:00:00","www3rd pty dep","checking"
"200300","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRF DDA - 0503","2018-12-17 00:00:00","www trf dda","checking"
"57100","qeJzM5Q3A8TNgwje8eg7tz1ogLXPbEtJekx9x","WWW TRANSFER - 4460","2018-12-17 00:00:00","www transfer","checking"
"-3400","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-17 00:00:00","payment thank you paiement merci","credit card"
"-7300","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-17 00:00:00","payment thank you paiement merci","credit card"
"-36000","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","PAYMENT - THANK YOU / PAIEMENT - MERCI","2018-12-17 00:00:00","payment thank you paiement merci","credit card"
"200","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","IMPARK00090407U TORONTO ON","2018-12-17 00:00:00","impark00090407u toronto on","credit card"
"2857","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Domino's","2018-12-17 00:00:00","domino s","credit card"
"2808","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","FRANKIES BAR & CAFE TORONTO ON","2018-12-17 00:00:00","frankies bar cafe toronto on","credit card"
"554","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","Starbucks","2018-12-17 00:00:00","starbucks","credit card"
"10836","jmbNEr76Pkt50YbKqK09f7evaM980EFR0wQ5A","METRO #720 TORONTO ON","2018-12-17 00:00:00","metro toronto on","credit card"
