Id,MSSubClass,LotArea,LandSlope,HouseStyle,OverallQual,OverallCond,YearBuilt,MasVnrArea,TotalBsmtSF,Heating,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,MiscVal,YrSold,SalePrice
13,20,12968,Gtl,1Story,5,6,1962,0,912,GasA,Y,912,0,912,1,0,2,4,0,1,352,Y,140,0,0,2008,144000
14,20,10652,Gtl,1Story,7,5,2006,306,1494,GasA,Y,1494,0,1494,2,0,3,7,1,3,840,Y,160,33,0,2007,279500
15,20,10920,Gtl,1Story,6,5,1960,212,1253,GasA,Y,1253,0,1253,1,1,2,5,1,1,352,Y,0,213,0,2008,157000
16,45,6120,Gtl,1.5Unf,7,8,1929,0,832,GasA,Y,854,0,854,1,0,2,5,0,2,576,Y,48,112,0,2007,132000
17,20,11241,Gtl,1Story,6,7,1970,180,1004,GasA,Y,1004,0,1004,1,0,2,5,1,2,480,Y,0,0,700,2010,149000
18,90,10791,Gtl,1Story,4,5,1967,0,0,GasA,Y,1296,0,1296,2,0,2,6,0,2,516,Y,0,0,500,2006,90000
19,20,13695,Gtl,1Story,5,5,2004,0,1114,GasA,Y,1114,0,1114,1,1,3,6,0,2,576,Y,0,102,0,2008,159000
20,20,7560,Gtl,1Story,5,6,1958,0,1029,GasA,Y,1339,0,1339,1,0,3,6,0,1,294,Y,0,0,0,2009,139000
21,60,14215,Gtl,2Story,8,5,2005,380,1158,GasA,Y,1158,1218,2376,3,1,4,9,1,3,853,Y,240,154,0,2006,325300
22,45,7449,Gtl,1.5Unf,7,7,1930,0,637,GasA,Y,1108,0,1108,1,0,3,6,1,1,280,N,0,0,0,2007,139400
23,20,9742,Gtl,1Story,8,5,2002,281,1777,GasA,Y,1795,0,1795,2,0,3,7,1,2,534,Y,171,159,0,2008,230000
24,120,4224,Gtl,1Story,5,7,1976,0,1040,GasA,Y,1060,0,1060,1,0,3,6,1,2,572,Y,100,110,0,2007,129900
25,20,8246,Gtl,1Story,5,8,1968,0,1060,GasA,Y,1060,0,1060,1,0,3,6,1,1,270,Y,406,90,0,2010,154000
26,20,14230,Gtl,1Story,8,5,2007,640,1566,GasA,Y,1600,0,1600,2,0,3,7,1,3,890,Y,0,56,0,2009,256300
27,20,7200,Gtl,1Story,5,7,1951,0,900,GasA,Y,900,0,900,1,0,3,5,0,2,576,Y,222,32,0,2010,134800
28,20,11478,Gtl,1Story,8,5,2007,200,1704,GasA,Y,1704,0,1704,2,0,3,7,1,3,772,Y,0,50,0,2010,306000
29,20,16321,Gtl,1Story,5,6,1957,0,1484,GasA,Y,1600,0,1600,1,0,2,6,2,1,319,Y,288,258,0,2006,207500
30,30,6324,Gtl,1Story,4,6,1927,0,520,GasA,N,520,0,520,1,0,1,4,0,1,240,Y,49,0,0,2008,68500
31,70,8500,Gtl,2Story,4,4,1920,0,649,GasA,N,649,668,1317,1,0,3,6,0,1,250,N,0,54,0,2008,40000
32,20,8544,Gtl,1Story,5,6,1966,0,1228,GasA,Y,1228,0,1228,1,1,3,6,0,1,271,Y,0,65,0,2008,149350
33,20,11049,Gtl,1Story,8,5,2007,0,1234,GasA,Y,1234,0,1234,2,0,3,7,0,2,484,Y,0,30,0,2008,179900
34,20,10552,Gtl,1Story,5,5,1959,0,1398,GasA,Y,1700,0,1700,1,1,4,6,1,2,447,Y,0,38,0,2010,165500
35,120,7313,Gtl,1Story,9,5,2005,246,1561,GasA,Y,1561,0,1561,2,0,2,6,1,2,556,Y,203,47,0,2007,277500
36,60,13418,Gtl,2Story,8,5,2004,132,1117,GasA,Y,1132,1320,2452,3,1,4,9,1,3,691,Y,113,32,0,2006,309000
37,20,10859,Gtl,1Story,5,5,1994,0,1097,GasA,Y,1097,0,1097,1,1,3,6,0,2,672,Y,392,64,0,2009,145000
38,20,8532,Gtl,1Story,5,6,1954,650,1297,GasA,Y,1297,0,1297,1,0,3,5,1,2,498,Y,0,0,0,2009,153000
39,20,7922,Gtl,1Story,5,7,1953,0,1057,GasA,Y,1057,0,1057,1,0,3,5,0,1,246,Y,0,52,0,2010,109000
40,90,6040,Gtl,1Story,4,5,1955,0,0,GasA,N,1152,0,1152,2,0,2,6,0,0,0,N,0,0,0,2008,82000
41,20,8658,Gtl,1Story,6,5,1965,101,1088,GasA,Y,1324,0,1324,2,0,3,6,1,2,440,Y,0,138,0,2006,160000
42,20,16905,Gtl,1Story,5,6,1959,0,1350,GasA,Y,1328,0,1328,1,1,2,5,2,1,308,P,0,104,0,2007,170000
43,85,9180,Gtl,SFoyer,5,7,1983,0,840,GasA,Y,884,0,884,1,0,2,5,0,2,504,Y,240,0,0,2007,144000
44,20,9200,Gtl,1Story,5,6,1975,0,938,GasA,Y,938,0,938,1,0,3,5,0,1,308,Y,145,0,0,2008,130250
45,20,7945,Gtl,1Story,5,6,1959,0,1150,GasA,Y,1150,0,1150,1,0,3,6,0,1,300,Y,0,0,0,2006,141000
46,120,7658,Gtl,1Story,9,5,2005,412,1752,GasA,Y,1752,0,1752,2,0,2,6,1,2,576,Y,196,82,0,2010,319900
47,50,12822,Gtl,1.5Fin,7,5,2003,0,1434,GasA,Y,1518,631,2149,1,1,1,6,1,2,670,Y,168,43,0,2009,239686
48,20,11096,Gtl,1Story,8,5,2006,0,1656,GasA,Y,1656,0,1656,2,0,3,7,0,3,826,Y,0,146,0,2007,249700
49,190,4456,Gtl,2Story,4,5,1920,0,736,GasA,Y,736,716,1452,2,0,2,8,0,0,0,N,0,0,0,2009,113000
50,20,7742,Gtl,1Story,5,7,1966,0,955,GasA,Y,955,0,955,1,0,3,6,0,1,386,Y,0,0,0,2007,127000
51,60,13869,Gtl,2Story,6,6,1997,0,794,GasA,Y,794,676,1470,2,0,3,6,0,2,388,Y,0,75,0,2007,177000
52,50,6240,Gtl,1.5Fin,6,6,1934,0,816,GasA,Y,816,0,1176,1,0,3,6,1,2,528,Y,112,0,400,2006,114500
53,90,8472,Mod,1Story,5,5,1963,0,816,GasA,N,816,0,816,1,0,2,5,0,2,516,Y,106,0,0,2010,110000
54,20,50271,Gtl,1Story,9,5,1981,0,1842,GasA,Y,1842,0,1842,0,1,0,5,1,3,894,Y,857,72,0,2006,385000
55,80,7134,Mod,SLvl,5,5,1955,0,384,GasA,Y,1360,0,1360,1,0,3,6,1,2,572,Y,0,50,0,2007,130000
56,20,10175,Gtl,1Story,6,5,1964,272,1425,GasA,Y,1425,0,1425,2,0,3,7,1,2,576,Y,0,0,0,2008,180500
57,160,2645,Gtl,2Story,8,5,1999,456,970,GasA,Y,983,756,1739,2,1,3,7,0,2,480,Y,115,0,0,2009,172500
58,60,11645,Gtl,2Story,7,5,2004,0,860,GasA,Y,860,860,1720,2,1,3,7,0,2,565,Y,0,70,0,2006,196500
59,60,13682,Gtl,2Story,10,5,2006,1031,1410,GasA,Y,1426,1519,2945,3,1,3,10,1,3,641,Y,192,0,0,2006,438780
60,20,7200,Gtl,1Story,5,7,1972,0,780,GasA,Y,780,0,780,1,0,2,4,0,1,352,Y,196,0,0,2008,124900
61,20,13072,Gtl,1Story,6,5,2004,0,1158,GasA,Y,1158,0,1158,1,1,3,5,0,2,576,Y,0,50,0,2006,158000
62,75,7200,Gtl,2.5Unf,5,7,1920,0,530,GasA,N,581,530,1111,1,0,3,6,0,1,288,N,0,0,0,2007,101000
63,120,6442,Gtl,1Story,8,5,2006,178,1370,GasA,Y,1370,0,1370,2,0,2,6,1,2,484,Y,120,49,0,2007,202500
64,70,10300,Gtl,2Story,7,6,1921,0,576,GasA,Y,902,808,1710,2,0,3,9,0,2,480,Y,12,11,0,2010,140000
65,60,9375,Gtl,2Story,7,5,1997,573,1057,GasA,Y,1057,977,2034,2,1,3,8,0,2,645,Y,576,36,0,2009,219500
66,60,9591,Gtl,2Story,8,5,2004,344,1143,GasA,Y,1143,1330,2473,2,1,4,9,1,3,852,Y,192,151,0,2007,317000
67,20,19900,Gtl,1Story,7,5,1970,287,1947,GasA,Y,2207,0,2207,2,0,3,7,1,2,576,Y,301,0,0,2010,180000
68,20,10665,Gtl,1Story,7,5,2003,167,1453,GasA,Y,1479,0,1479,2,0,3,7,0,2,558,Y,144,29,0,2007,226000
69,30,4608,Gtl,1Story,4,6,1945,0,747,GasA,Y,747,0,747,1,0,2,4,0,1,220,Y,0,0,0,2010,80000
70,50,15593,Gtl,1.5Fin,7,4,1953,0,1304,GasW,Y,1304,983,2287,2,0,3,7,1,2,667,Y,0,21,0,2006,225000
71,20,13651,Gtl,1Story,7,6,1973,1115,2223,GasA,Y,2223,0,2223,2,0,3,8,2,2,516,Y,300,0,0,2007,244000
72,20,7599,Gtl,1Story,4,6,1982,0,845,GasA,Y,845,0,845,1,0,2,4,0,2,360,Y,0,0,0,2007,129500
73,60,10141,Gtl,2Story,7,5,1998,40,832,GasA,Y,885,833,1718,2,1,3,7,1,2,427,Y,0,94,0,2009,185000
74,20,10200,Gtl,1Story,5,7,1954,104,1086,GasA,Y,1086,0,1086,1,0,3,6,0,2,490,Y,0,0,0,2010,144900
75,50,5790,Gtl,2Story,3,6,1915,0,840,GasA,N,840,765,1605,2,0,3,8,0,1,379,Y,0,0,0,2010,107400
76,180,1596,Gtl,SLvl,4,5,1973,0,462,GasA,Y,526,462,988,1,0,2,5,0,1,297,Y,120,101,0,2009,91000
77,20,8475,Gtl,1Story,4,7,1956,0,952,GasA,Y,952,0,952,1,0,2,4,0,1,283,Y,0,0,0,2008,135750
78,50,8635,Gtl,1.5Fin,5,5,1948,0,672,GasA,Y,1072,213,1285,1,0,2,6,0,1,240,Y,0,0,0,2008,127000
79,90,10778,Gtl,1Story,4,5,1968,0,1768,GasA,N,1768,0,1768,2,0,4,8,0,0,0,Y,0,0,0,2010,136500
80,50,10440,Gtl,2Story,5,6,1910,0,440,GasA,Y,682,548,1230,1,1,2,5,0,2,440,Y,74,0,0,2009,110000
81,60,13000,Gtl,2Story,6,6,1968,576,896,GasA,Y,1182,960,2142,2,1,4,8,1,1,509,Y,0,72,0,2009,193500
82,120,4500,Gtl,1Story,6,5,1998,443,1237,GasA,Y,1337,0,1337,2,0,2,5,0,2,405,Y,0,199,0,2006,153500
83,20,10206,Gtl,1Story,8,5,2007,468,1563,GasA,Y,1563,0,1563,2,0,3,6,1,3,758,Y,144,99,0,2008,245000
84,20,8892,Gtl,1Story,5,5,1960,66,1065,GasA,Y,1065,0,1065,1,1,3,6,0,2,461,Y,74,0,0,2007,126500
85,80,8530,Gtl,SLvl,7,5,1995,22,384,GasA,Y,804,670,1474,2,1,3,7,1,2,400,Y,120,72,700,2009,168500
86,60,16059,Gtl,2Story,8,5,1991,284,1288,GasA,Y,1301,1116,2417,2,1,4,9,1,2,462,Y,127,82,0,2006,260000
87,60,11911,Gtl,2Story,6,5,2005,0,684,GasA,Y,684,876,1560,2,1,3,6,1,2,400,Y,100,38,0,2009,174000
88,160,3951,Gtl,2Story,6,5,2009,76,612,GasA,Y,612,612,1224,2,1,2,4,0,2,528,Y,0,234,0,2009,164500
89,50,8470,Gtl,1.5Fin,3,2,1915,0,1013,GasA,N,1013,0,1526,1,0,2,6,0,0,0,N,0,0,0,2009,85000
90,20,8070,Gtl,1Story,4,5,1994,0,990,GasA,Y,990,0,990,1,0,3,5,0,0,0,Y,0,0,0,2007,123600
91,20,7200,Gtl,1Story,4,5,1950,0,0,GasA,Y,1040,0,1040,1,0,2,4,0,2,420,Y,0,29,0,2006,109900
92,20,8500,Gtl,1Story,5,3,1961,203,1235,GasA,Y,1235,0,1235,1,0,2,6,0,2,480,Y,0,0,0,2006,98600
93,30,13360,Gtl,1Story,5,7,1921,0,876,GasA,Y,964,0,964,1,0,2,5,0,2,432,Y,0,0,0,2009,163500
94,190,7200,Gtl,2.5Unf,6,6,1910,0,1214,GasW,N,1260,1031,2291,2,0,4,9,1,2,506,Y,0,0,0,2007,133900
95,60,9337,Gtl,2Story,6,5,1997,0,824,GasA,Y,905,881,1786,2,1,3,7,0,2,684,Y,0,162,0,2007,204750
96,60,9765,Gtl,2Story,6,8,1993,68,680,GasA,Y,680,790,1470,2,1,3,6,1,2,420,Y,232,63,480,2009,185000
97,20,10264,Gtl,1Story,7,5,1999,183,1588,GasA,Y,1588,0,1588,2,0,3,6,0,2,472,Y,158,29,0,2006,214000
98,20,10921,Gtl,1Story,4,5,1965,48,960,GasA,Y,960,0,960,1,0,3,6,0,1,432,P,120,0,0,2007,94750
99,30,10625,Gtl,1Story,5,5,1920,0,458,GasA,N,835,0,835,1,0,2,5,0,1,366,Y,0,0,400,2010,83000
100,20,9320,Gtl,1Story,4,5,1959,0,950,GasA,Y,1225,0,1225,1,1,3,6,0,0,0,Y,352,0,400,2010,128950
101,20,10603,Gtl,1Story,6,7,1977,28,1610,GasA,Y,1610,0,1610,2,0,3,6,2,2,480,Y,168,68,0,2010,205000
102,60,9206,Gtl,2Story,6,5,1985,336,741,GasA,Y,977,755,1732,2,1,3,7,1,2,476,Y,192,46,0,2010,178000
103,90,7018,Gtl,1Story,5,5,1979,0,0,GasA,Y,1535,0,1535,2,0,4,8,0,2,410,Y,0,0,0,2009,118964
104,20,10402,Gtl,1Story,7,5,2009,0,1226,GasA,Y,1226,0,1226,2,0,3,6,0,3,740,Y,0,36,0,2010,198900
105,50,7758,Gtl,1.5Fin,7,4,1931,600,1040,GasA,Y,1226,592,1818,1,1,4,7,2,1,240,Y,0,0,0,2007,169500
106,60,9375,Gtl,2Story,8,5,2003,768,1053,GasA,Y,1053,939,1992,2,1,3,9,1,2,648,Y,140,45,0,2008,250000
107,30,10800,Gtl,1Story,4,7,1885,0,641,GasA,Y,1047,0,1047,1,0,2,6,0,1,273,N,0,0,450,2007,100000
108,20,6000,Gtl,1Story,5,5,1948,0,789,GasA,Y,789,0,789,1,0,2,5,0,1,250,Y,0,0,0,2008,115000
109,50,8500,Gtl,1.5Fin,5,7,1919,0,793,GasW,N,997,520,1517,2,0,3,7,0,0,0,N,0,0,0,2007,115000
110,20,11751,Gtl,1Story,6,6,1977,480,1844,GasA,Y,1844,0,1844,2,0,3,7,1,2,546,Y,0,122,0,2010,190000
111,50,9525,Gtl,1.5Fin,6,4,1954,0,994,GasA,Y,1216,639,1855,2,0,4,7,0,1,325,Y,182,0,0,2006,136900
112,80,7750,Gtl,SLvl,7,5,2000,0,384,GasA,Y,774,656,1430,2,1,3,7,1,2,400,Y,180,0,0,2010,180000
113,60,9965,Gtl,2Story,7,5,2007,220,1264,GasA,Y,1282,1414,2696,2,1,4,10,1,3,792,Y,120,184,0,2007,383970
114,20,21000,Gtl,1Story,6,5,1953,184,1809,GasA,Y,2259,0,2259,2,0,3,7,2,2,450,Y,166,120,0,2007,217000
115,70,7259,Mod,2Story,6,8,1945,0,1028,GasA,Y,1436,884,2320,2,1,3,9,1,1,180,Y,224,0,0,2007,259500
116,160,3230,Gtl,2Story,6,5,1999,1129,729,GasA,Y,729,729,1458,2,1,2,5,1,2,440,Y,0,32,0,2007,176000
117,20,11616,Gtl,1Story,5,5,1962,116,1092,GasA,Y,1092,0,1092,1,0,3,6,1,1,288,Y,0,20,0,2009,139000
118,20,8536,Gtl,1Story,5,5,2006,0,1125,GasA,Y,1125,0,1125,1,1,2,5,0,2,430,Y,80,64,0,2007,155000
119,60,12376,Gtl,2Story,7,5,1990,0,1673,GasA,Y,1699,1523,3222,3,0,5,11,2,3,594,Y,367,0,0,2010,320000
120,60,8461,Gtl,2Story,6,5,2005,0,728,GasA,Y,728,728,1456,2,1,3,8,1,2,390,Y,0,24,0,2006,163990
121,80,21453,Sev,SLvl,6,5,1969,0,938,GasA,Y,988,0,988,1,0,1,4,2,2,540,Y,0,130,0,2006,180000
122,50,6060,Gtl,1.5Fin,4,5,1939,0,732,GasA,Y,772,351,1123,1,0,3,4,0,1,264,P,0,0,0,2007,100000
123,20,9464,Gtl,1Story,6,7,1958,135,1080,GasA,Y,1080,0,1080,1,0,3,5,0,1,288,Y,0,0,0,2008,136000
124,120,7892,Gtl,1Story,6,5,1993,0,1199,GasA,Y,1199,0,1199,2,0,2,5,0,2,530,Y,0,63,0,2008,153900
125,20,17043,Gtl,1Story,6,5,1979,0,1362,GasA,Y,1586,0,1586,2,0,3,7,1,2,435,Y,192,0,0,2009,181000
126,190,6780,Gtl,1.5Fin,6,8,1935,0,520,GasA,N,520,0,754,1,0,2,5,0,0,0,N,53,0,0,2006,84500
127,120,4928,Gtl,1Story,6,5,1976,0,1078,GasA,Y,958,0,958,2,0,2,5,1,2,440,Y,0,205,0,2007,128000
128,45,4388,Gtl,1.5Unf,5,7,1930,0,672,GasA,Y,840,0,840,1,0,3,5,1,0,0,N,0,0,0,2007,87000
129,60,7590,Gtl,2Story,6,5,1966,266,660,GasA,Y,660,688,1348,1,1,3,6,1,2,453,Y,188,108,0,2006,155000
130,20,8973,Gtl,1Story,5,7,1958,85,1008,GasA,Y,1053,0,1053,1,1,3,6,0,2,750,Y,0,80,0,2006,150000
131,60,14200,Gtl,2Story,7,6,1966,309,924,GasA,Y,1216,941,2157,2,1,4,8,2,2,487,Y,105,66,0,2006,226000
132,60,12224,Gtl,2Story,6,5,2000,40,992,GasA,Y,1022,1032,2054,2,1,3,7,1,2,390,Y,24,48,0,2009,244000
133,20,7388,Gtl,1Story,5,6,1959,0,1063,GasA,Y,1327,0,1327,1,0,3,7,0,2,624,Y,0,0,0,2007,150750
134,20,6853,Gtl,1Story,8,5,2001,136,1267,GasA,Y,1296,0,1296,2,0,2,6,0,2,471,Y,192,25,0,2009,220000
135,20,10335,Gtl,1Story,5,6,1968,0,1461,GasA,Y,1721,0,1721,2,1,3,7,1,2,440,Y,0,96,0,2006,180000
136,20,10400,Gtl,1Story,7,6,1970,288,1304,GasA,Y,1682,0,1682,2,0,3,7,1,2,530,Y,98,0,0,2008,174000
137,20,10355,Gtl,1Story,5,5,1967,196,1214,GasA,Y,1214,0,1214,2,0,3,5,1,1,318,Y,0,111,0,2007,143000
138,90,11070,Gtl,1Story,7,5,1988,70,1907,GasA,Y,1959,0,1959,3,0,5,9,0,3,766,Y,0,0,0,2006,171000
139,60,9066,Gtl,2Story,8,5,1999,320,1004,GasA,Y,1004,848,1852,2,1,3,7,2,3,660,Y,224,106,0,2008,230000
140,60,15426,Gtl,2Story,6,5,1997,0,928,GasA,Y,928,836,1764,2,1,3,7,0,2,470,Y,276,99,0,2009,231500
141,20,10500,Gtl,1Story,4,5,1971,0,864,GasA,Y,864,0,864,1,0,3,5,1,0,0,Y,0,0,0,2010,115000
142,20,11645,Gtl,1Story,7,5,2005,0,1734,GasA,Y,1734,0,1734,2,0,3,7,0,2,660,Y,160,24,0,2006,260000
143,50,8520,Gtl,1.5Fin,5,4,1952,0,910,GasA,Y,910,475,1385,2,0,4,6,0,2,720,Y,0,0,0,2010,166000
144,20,10335,Gtl,1Story,7,5,1999,183,1490,GasA,Y,1501,0,1501,2,0,3,6,0,2,577,Y,144,29,0,2009,204000
145,90,9100,Gtl,1Story,5,5,1963,336,1728,GasA,Y,1728,0,1728,2,0,6,10,0,2,504,Y,0,0,0,2006,125000
146,160,2522,Gtl,2Story,6,5,2004,50,970,GasA,Y,970,739,1709,2,0,3,7,0,2,380,Y,0,40,0,2006,130000
147,30,6120,Gtl,1Story,5,7,1931,0,715,GasA,Y,875,0,875,1,0,2,5,0,1,180,Y,48,0,0,2009,105000
148,60,9505,Gtl,2Story,7,5,2001,180,884,GasA,Y,884,1151,2035,2,1,3,8,1,2,434,Y,144,48,0,2010,222500
149,20,7500,Gtl,1Story,7,5,2004,120,1080,GasA,Y,1080,0,1080,1,0,3,6,0,0,0,Y,0,0,0,2008,141000
150,50,6240,Gtl,1.5Fin,5,4,1936,0,896,GasA,Y,896,448,1344,1,0,3,7,0,1,240,Y,200,114,0,2006,115000
151,20,10356,Gtl,1Story,5,6,1975,0,969,GasA,Y,969,0,969,1,1,3,5,0,2,440,Y,0,0,0,2007,122000
152,20,13891,Gtl,1Story,8,5,2007,436,1710,GasA,Y,1710,0,1710,2,0,2,6,1,3,866,Y,0,102,0,2008,372402
153,60,14803,Gtl,2Story,6,5,1971,252,825,GasA,Y,1097,896,1993,2,1,4,8,1,2,495,Y,0,66,0,2006,190000
154,20,13500,Gtl,1Story,6,7,1960,0,1602,GasA,Y,1252,0,1252,1,0,1,4,1,2,564,Y,409,0,0,2008,235000
155,30,11340,Gtl,1Story,6,5,1923,0,1200,GasA,Y,1200,0,1200,1,0,4,7,0,1,312,Y,0,0,0,2006,125000
156,50,9600,Gtl,1.5Fin,6,5,1924,0,572,Grav,N,572,524,1096,1,0,2,5,0,0,0,N,0,8,0,2008,79000
157,20,7200,Gtl,1Story,5,7,1950,0,0,GasA,Y,1040,0,1040,1,0,2,5,0,2,625,Y,0,0,0,2006,109500
158,60,12003,Gtl,2Story,8,5,2009,84,774,GasA,Y,774,1194,1968,2,1,4,8,1,3,680,Y,0,75,0,2010,269500
159,60,12552,Gtl,2Story,7,5,2004,0,991,GasA,Y,991,956,1947,2,1,3,8,1,2,678,Y,0,136,0,2010,254900
160,60,19378,Gtl,2Story,7,5,2005,456,1392,GasA,Y,1392,1070,2462,2,1,4,9,1,2,576,Y,239,132,0,2006,320000
161,20,11120,Gtl,1Story,6,6,1984,0,1232,GasA,Y,1232,0,1232,2,0,3,6,0,2,516,Y,0,0,0,2008,162500
162,60,13688,Gtl,2Story,9,5,2003,664,1572,GasA,Y,1572,1096,2668,2,1,3,10,2,3,726,Y,400,0,0,2008,412500
163,20,12182,Gtl,1Story,7,5,2005,226,1541,GasA,Y,1541,0,1541,2,0,3,7,1,2,532,Y,0,70,0,2010,220000
164,45,5500,Gtl,1.5Unf,4,6,1956,0,882,GasA,Y,882,0,882,1,0,1,4,0,0,0,Y,0,0,0,2007,103200
165,40,5400,Gtl,1Story,6,7,1926,0,1149,GasA,Y,1149,467,1616,2,0,3,5,0,1,216,Y,0,0,0,2007,152000
166,190,10106,Gtl,1.5Fin,5,7,1940,0,644,GasA,Y,808,547,1355,2,0,4,6,0,0,0,Y,140,0,0,2008,127500
167,20,10708,Gtl,1Story,5,5,1955,0,1617,GasA,Y,1867,0,1867,1,0,2,7,3,1,303,Y,476,0,0,2009,190000
168,60,10562,Gtl,2Story,8,5,2007,300,1582,GasA,Y,1610,551,2161,1,1,3,8,1,3,789,Y,178,120,0,2007,325624
169,60,8244,Gtl,2Story,7,5,2004,0,840,GasA,Y,840,880,1720,2,1,3,7,1,2,440,Y,100,48,0,2007,183500
170,20,16669,Gtl,1Story,8,6,1981,653,1686,GasA,Y,1707,0,1707,2,1,2,6,1,2,511,Y,574,64,0,2006,228000
171,50,12358,Gtl,1.5Fin,5,6,1941,0,720,GasA,Y,854,0,1382,1,1,2,7,0,2,660,Y,237,0,0,2007,128500
172,20,31770,Gtl,1Story,6,5,1960,112,1080,GasA,Y,1656,0,1656,1,0,3,7,2,2,528,P,210,62,0,2010,215000
173,160,5306,Gtl,2Story,7,7,1987,0,1064,GasA,Y,1064,703,1767,2,0,2,5,1,2,504,Y,441,35,0,2006,239000
174,20,10197,Gtl,1Story,6,5,1961,491,1362,GasA,Y,1362,0,1362,1,1,3,6,1,2,504,Y,0,20,0,2008,163000
175,20,12416,Gtl,1Story,6,5,1986,132,1606,GasA,Y,1651,0,1651,2,0,3,7,1,2,616,Y,192,0,0,2008,184000
176,20,12615,Gtl,1Story,6,7,1950,0,1202,GasA,Y,2158,0,2158,2,0,4,7,1,2,576,Y,0,29,0,2007,243000
177,60,10029,Gtl,2Story,6,5,1988,268,1151,GasA,Y,1164,896,2060,2,1,4,8,1,2,521,Y,0,228,0,2007,211000
178,50,13650,Gtl,1.5Fin,5,5,1958,0,1052,GasA,Y,1252,668,1920,2,0,4,8,1,2,451,Y,0,0,0,2006,172500
179,20,17423,Gtl,1Story,9,5,2008,748,2216,GasA,Y,2234,0,2234,2,0,1,9,1,3,1166,Y,0,60,0,2009,501837
180,30,8520,Gtl,1Story,5,6,1923,0,968,GasA,Y,968,0,968,1,0,2,5,0,2,480,N,0,0,0,2007,100000
181,160,2117,Gtl,2Story,6,5,2000,456,756,GasA,Y,769,756,1525,2,1,3,5,1,2,440,Y,0,0,0,2007,177000
182,70,7588,Gtl,2Story,7,6,1920,0,793,GasA,Y,901,901,1802,1,1,4,9,1,1,216,Y,0,0,0,2006,200100
183,20,9060,Gtl,1Story,5,6,1957,98,0,GasA,Y,1340,0,1340,1,0,3,7,1,1,252,Y,116,0,0,2007,120000
184,50,11426,Gtl,1.5Fin,7,5,2003,0,1362,GasA,Y,1362,720,2082,2,1,3,6,0,2,484,N,280,238,0,2008,200000
185,50,7438,Gtl,1.5Fin,5,8,1908,0,504,GasA,Y,936,316,1252,1,0,3,5,0,2,576,Y,104,0,0,2006,127000
186,75,22950,Gtl,2.5Fin,10,9,1892,0,1107,GasA,Y,1518,1518,3608,2,1,4,12,2,3,840,Y,0,260,0,2006,475000
187,80,9947,Gtl,SLvl,7,5,1990,0,1188,GasA,Y,1217,0,1217,2,0,3,6,0,2,497,Y,168,27,0,2009,173000
188,50,10410,Gtl,1.5Fin,5,7,1916,0,660,GasA,Y,808,704,1656,2,1,3,8,0,1,180,N,0,0,0,2009,135000
189,90,7018,Gtl,SFoyer,5,5,1979,275,1086,GasA,Y,1224,0,1224,0,2,2,6,2,2,528,Y,120,0,0,2009,153337
190,120,4923,Gtl,1Story,8,5,2001,0,1593,GasA,Y,1593,0,1593,1,1,0,5,1,2,682,Y,0,120,0,2008,286000
